 Loading model...
Downloading data from 2016-01-01 to 2024-08-01...

=== LIVE PAPER-TRADING SIMULATION ===

Start: 2023-01-02  End: 2024-08-01
Costs: comm=0.001, slip=0.0005, fill_rate=0.9
Latency: True  Turnover cap: 0.15  Vol target: 0.15
----------------------------------------------------------------------
2023-11-07 | Value: 1.1756 | Return: -0.005% | Trade: 4.53% | Assets held: 98 | Cost: 0.007%
2023-11-08 | Value: 1.1699 | Return: -0.482% | Trade: 4.47% | Assets held: 98 | Cost: 0.007%
2023-11-09 | Value: 1.1831 | Return: +1.132% | Trade: 4.13% | Assets held: 98 | Cost: 0.006%
2023-11-10 | Value: 1.1828 | Return: -0.026% | Trade: 3.85% | Assets held: 98 | Cost: 0.006%
2023-11-13 | Value: 1.2004 | Return: +1.485% | Trade: 3.96% | Assets held: 98 | Cost: 0.006%
2023-11-14 | Value: 1.2035 | Return: +0.260% | Trade: 5.13% | Assets held: 98 | Cost: 0.008%
2023-11-15 | Value: 1.2010 | Return: -0.209% | Trade: 5.36% | Assets held: 98 | Cost: 0.008%
2023-11-16 | Value: 1.2052 | Return: +0.350% | Trade: 3.56% | Assets held: 98 | Cost: 0.005%
2023-11-17 | Value: 1.2138 | Return: +0.714% | Trade: 5.98% | Assets held: 98 | Cost: 0.009%
2023-11-20 | Value: 1.2094 | Return: -0.359% | Trade: 4.27% | Assets held: 98 | Cost: 0.006%
2023-11-21 | Value: 1.2145 | Return: +0.419% | Trade: 5.88% | Assets held: 98 | Cost: 0.009%
2023-11-22 | Value: 1.2142 | Return: -0.025% | Trade: 4.06% | Assets held: 98 | Cost: 0.006%
2023-11-23 | Value: 1.2164 | Return: +0.182% | Trade: 3.39% | Assets held: 98 | Cost: 0.005%
2023-11-24 | Value: 1.2151 | Return: -0.104% | Trade: 3.52% | Assets held: 98 | Cost: 0.005%
2023-11-27 | Value: 1.2208 | Return: +0.462% | Trade: 3.35% | Assets held: 98 | Cost: 0.005%
